img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_3366096AmericaFrontccc.jpg,Just Dance 2016,X360,Music,Ubisoft,Ubisoft Paris,,0.36,0.26,,0.06,0.04,2015-10-20,2018-04-05
/games/boxart/389211ccc.jpg,North American Hunting Extravaganza,Wii,Sports,Destineer,Arcade Moon,,0.36,0.33,,0,0.03,2008-10-15,
/games/boxart/full_3971155AmericaFrontccc.jpg,Shaun Palmer's Pro Snowboarder,GBA,Sports,Activision,Natsume,,0.36,0.26,,0.1,0.01,2001-11-27,
/games/boxart/full_3866694AmericaFrontccc.jpg,Tiger Woods PGA Tour 09,PSP,Sports,EA Sports,EA Tiburon,5.2,0.36,0.07,,0.19,0.1,2008-08-26,
/games/boxart/full_504516JapanFrontccc.jpg,Hamster Club 3,GBA,Simulation,Jorudan,Jorudan,,0.36,,0.35,,0.01,2002-03-29,
/games/boxart/full_6131610AmericaFrontccc.jpg,Formula 1 Championship Edition,PS,Racing,Sony Computer Entertainment,Bizarre Creations,8.5,0.36,0.06,0.23,0.04,0.02,1997-09-30,
/games/boxart/5679500ccc.gif,NFL GameDay 2001,PS2,Sports,Sony Computer Entertainment,989 Sports,,0.36,0.18,,0.14,0.05,2000-11-13,
/games/boxart/full_need-for-speed-the-run_698AmericaFront.jpg,Need for Speed: The Run,PC,Racing,Electronic Arts,EA Black Box,,0.36,0.09,,0.21,0.07,2011-11-15,
/games/boxart/full_3478135AmericaFrontccc.jpg,World's Scariest Police Chases,PS,Racing,Activision,UDS,,0.36,0.2,,0.14,0.02,2001-05-21,
/games/boxart/full_1813347AmericaFrontccc.jpg,LEGO Racers,PS,Racing,LEGO Media,High Voltage Software,,0.36,0.2,,0.14,0.02,1999-12-17,
/games/boxart/full_5166820AmericaFrontccc.jpg,ATV/Monster Truck Mayhem,DS,Racing,"Destination Software, Inc",Destination,,0.36,0.33,,,0.02,2007-07-15,
/games/boxart/full_6082298AmericaFrontccc.jpg,Arctic Thunder,PS2,Racing,Midway Games,Inland Productions,,0.36,0.17,,0.14,0.05,2001-09-17,
/games/boxart/full_6802014AmericaFrontccc.jpg,Kirby's Dream Land 3,SNES,Platform,Nintendo,HAL Laboratory,,0.36,,0.36,,0,1997-11-27,
/games/boxart/9609758ccc.jpg,Disney's The Haunted Mansion,PS2,Platform,TDK Mediactive,High Voltage Software,,0.36,0.18,,0.14,0.05,2003-10-14,
/games/boxart/full_8867893AmericaFrontccc.jpg,Mega Man 11,NS,Platform,Capcom,Capcom,8,0.36,0.29,0.03,,0.03,2018-10-02,2018-09-12
/games/boxart/full_6021892JapanFrontccc.jpg,Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,SNES,Platform,Konami,Konami,,0.36,,0.36,,,1994-12-16,
